20-08-16 18:11:55,52.616
20-08-16 18:11:57,52.078
20-08-16 18:11:59,51.54
20-08-16 18:12:02,51.54
20-08-16 18:12:04,52.616
20-08-16 18:12:06,52.616
20-08-16 18:12:09,52.616
20-08-17 11:37:03,50.464
20-08-17 11:37:06,49.926
20-08-17 11:37:08,50.464
20-08-17 11:37:10,49.926
20-08-17 11:37:12,49.388
20-08-17 11:37:15,50.464
20-08-17 11:37:17,49.388
20-08-17 11:37:19,50.464
20-08-17 11:37:21,49.926
20-08-17 11:37:23,50.464
20-08-17 11:37:26,50.464
20-08-17 11:37:28,50.464
20-08-17 11:37:30,50.464
20-08-17 11:37:33,51.54
20-08-17 11:37:35,51.54
20-08-17 11:37:38,50.464
20-08-17 11:37:40,51.54
20-08-17 11:37:43,51.54
20-08-17 11:37:45,51.54
20-08-17 11:37:47,50.464
20-08-17 11:37:49,50.464
20-08-17 11:37:51,51.54
20-08-17 11:37:53,51.54
20-08-17 11:37:55,51.002
20-08-17 11:37:58,51.002
20-08-17 12:42:16,49.926
20-08-17 12:42:18,49.388
20-08-17 12:42:20,48.85
20-08-17 12:42:23,48.85
20-08-17 12:42:25,48.312
20-08-17 12:42:27,49.388
20-08-17 12:42:29,49.388
20-08-17 12:42:32,49.388
20-08-17 12:42:34,49.388
20-08-17 12:42:36,49.388
20-08-17 12:42:39,50.464
20-08-17 13:10:34,51.54
20-08-17 13:10:36,51.002
20-08-17 13:10:38,49.926
20-08-17 13:10:41,50.464
20-08-17 13:14:35,51.54
20-08-17 13:14:56,51.54
20-08-17 13:14:58,51.002
20-08-17 13:15:00,51.002
20-08-17 13:20:19,50.464
20-08-17 13:20:22,49.388
20-08-17 13:20:24,50.464
20-08-17 13:20:26,49.926
20-08-17 13:20:28,50.464
20-08-17 13:20:30,50.464
